TF	TF_uniprot	Target	Target_uniprot	Mode of Regulation	References (PMID)
AATF	Q9NY61	BAX	Q07812	Repression	22909821
AATF	Q9NY61	CDKN1A	P38936	Unknown	17157788
AATF	Q9NY61	KLK3	P07288	Unknown	23146908
AATF	Q9NY61	MYC	P01106	Activation	20549547
AATF	Q9NY61	TP53	P04637	Unknown	17157788
ABL1	P00519	BAX	Q07812	Activation	11753601
ABL1	P00519	BCL2	P10415	Repression	11753601
ABL1	P00519	BCL6	P41182	Repression	15509806
ABL1	P00519	CCND2	P30279	Activation	15509806
ABL1	P00519	CDKN1A	P38936	Activation	11753601;9916993
ABL1	P00519	CSF1	P09603	Activation	23418320
ABL1	P00519	CSF1	P09603	Unknown	18619508
ABL1	P00519	FOXO3	O43524	Activation	15509806
ABL1	P00519	JUN	P05412	Activation	15145216
ABL1	P00519	JUN	P05412	Repression	19357699
ABL1	P00519	PIM1	P11309	Activation	15145216
ABL1	P00519	TP53	P04637	Activation	11753601
AES	Q08117	EPHA3	P29320	Unknown	20676368
AES	Q08117	LEF1	Q9UJU2	Activation	20676368
AES	Q08117	RND3	P61587	Activation	23546594
AHR	P35869	ABCG2	Q9UNQ0	Unknown	20460431
AHR	P35869	AHRR	A9YTQ3	Activation	18848529
AHR	P35869	ARNT	P27540	Unknown	19255421;8631989
AHR	P35869	BRCA1	P38398	Unknown	18259752
AHR	P35869	CA9	Q16790	Repression	19154183
AHR	P35869	CCND1	P24385	Unknown	24380854
AHR	P35869	CCNG2	Q16589	Activation	22596188
AHR	P35869	CYP1A1	P04798	Activation	12213390;9865727
AHR	P35869	CYP1A1	P04798	Repression	17012224
AHR	P35869	CYP1A1	P04798	Unknown	10359656;12376470;15325265;19376845;21357676;24639079;8631128;9698073
AHR	P35869	CYP1A2	P05177	Unknown	21357676
AHR	P35869	CYP1B1	Q16678	Activation	16115918;19287966
AHR	P35869	CYP1B1	Q16678	Unknown	12376470;19376845;21742528;24299737
AHR	P35869	CYP2B6	P20813	Unknown	19928584
AHR	P35869	FOS	P01100	Unknown	10478842
AHR	P35869	IL13	P35225	Unknown	22981205
AHR	P35869	IL1B	P01584	Unknown	23349129
AHR	P35869	IL6	P05231	Activation	20511231
AHR	P35869	IL6	P05231	Unknown	18483242;23349129
AHR	P35869	MFSD2A	Q8NA29	Unknown	21736709
AHR	P35869	MT2A	P02795	Unknown	23994556
AHR	P35869	MYC	P01106	Unknown	11114727;16091746
AHR	P35869	PCNA	P12004	Activation	12417031
AHR	P35869	RFC3	P40938	Activation	12417031
AHR	P35869	UGT1A1	P22309	Activation	18172616
AHR	P35869	UGT1A6	P19224	Unknown	9466822
AIP	O00170	AHR	P35869	Activation	11469723
AIP	O00170	GREB1	Q4ZG55	Repression	21984905
AIP	O00170	NFKB2	Q00653	Repression	21984905
AIP	O00170	RSF1	Q96T23	Repression	21984905
AIP	O00170	TFF1	P04155	Repression	21984905
AIRE	O43918	CHRNA1	P02708	Unknown	17687331
ANKRD1	Q15327	NPPA	P01160	Repression	18273862
APBB1	O00213	GMPS	P49915	Repression	21453247
APC	P25054	AKT1	P31749	Repression	15888491
APC	P25054	AMHR2	Q16671	Repression	12724325
APC	P25054	BIRC5	O15392	Unknown	11751382
APC	P25054	DLG1	Q12959	Unknown	21858148
APC	P25054	DNMT1	P26358	Repression	12538344
APC	P25054	F8	P00451	Unknown	12010799
APC	P25054	KLF4	O43474	Unknown	12387883
APC	P25054	MYC	P01106	Repression	16510874
APC	P25054	NOS2	P35228	Activation	11935128
APC	P25054	ODC1	P11926	Repression	12112318
APC	P25054	PTGS2	P35354	Repression	10772828;12566320
APC	P25054	PTGS2	P35354	Unknown	11396184
APC	P25054	SGK1	O00141	Repression	18487207
APEX1	P27695	CCL2	P13500	Activation	17045925
